row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202406251749_PMA_dbgi_mapp_bk_blk_post01.mzML Peak area,202406251749_PMA_dbgi_mapp_bk_blk_post03.mzML Peak area,202406251749_PMA_dbgi_mapp_bk_blk_pre02.mzML Peak area,202406251749_PMA_dbgi_mapp_bk_blk_post02.mzML Peak area,202406251749_PMA_dbgi_mapp_bk_blk_pre01.mzML Peak area,202406251749_PMA_dbgi_mapp_bk_blk_pre03.mzML Peak area,202406251749_PMA_dbgi_blk_pre01.mzML Peak area,202406251749_PMA_dbgi_003179_01_01.mzML Peak area,202406251749_PMA_dbgi_003140_01_01.mzML Peak area,202406251749_PMA_dbgi_003180_01_01.mzML Peak area,202406251749_PMA_dbgi_003214_01_01.mzML Peak area,202406251749_PMA_dbgi_003187_01_01.mzML Peak area,202406251749_PMA_dbgi_003151_01_01.mzML Peak area,202406251749_PMA_dbgi_003164_01_01.mzML Peak area,202406251749_PMA_dbgi_003101_01_01.mzML Peak area,202406251749_PMA_dbgi_003154_01_01.mzML Peak area,202406251749_PMA_dbgi_003155_01_01.mzML Peak area,202406251749_PMA_dbgi_003223_01_01.mzML Peak area,202406251749_PMA_dbgi_003198_01_01.mzML Peak area,202406251749_PMA_dbgi_003185_01_01.mzML Peak area,202406251749_PMA_dbgi_003196_01_01.mzML Peak area,
19,239.96658993426027,0.514793,,,,,,,,,,,0,0,0,0,0,0,0,68853.31,70363.64,113510.15,0,105795.055,123274.14,328249.16,13916.924,0,26041.332,64279.395,185712.52,145717.97,158718.84,
20,217.95166744032247,0.51509976,,,,,,,,,,,0,0,0,0,0,0,0,0,0,12754.251,0,0,0,31214.438,0,0,0,0,20074.836,0,0,
21,198.94011331517348,0.51571244,,,,,,,,,,,0,0,0,0,0,0,0,52229.273,56647.645,86599.03,0,81952.234,98324.58,303284.88,11520.273,0,22002.543,50841.402,165660.19,120846.52,136188.2,
22,216.95066575159447,0.51576006,,,,,,,,,,,0,0,0,0,0,0,0,62128.957,72931.766,99723.305,0,94318.0,114189.945,227046.58,0,0,24524.75,60683.598,150319.81,117939.98,132141.25,
23,241.96382625457014,0.5159448,,,,,,,,,,,0,0,0,0,0,0,0,0,0,14628.472,0,0,15082.702,42990.246,0,0,0,7342.7363,24312.094,18573.361,20647.158,
24,422.37888349702433,0.5162201,,,,,,,,,,,0,0,0,0,0,0,0,5917.3154,0,0,0,0,0,15271.834,0,0,0,0,7435.3613,0,0,
25,588.8137074156376,0.5162201,,,,,,,,,,,0,0,0,0,0,0,0,4743.148,0,0,0,0,0,13663.588,0,0,0,0,7341.4946,0,0,
26,474.8334416427533,0.5171597,,,,,,,,,,,0,0,0,0,0,0,0,36948.63,0,15846.731,0,0,4644.5117,51998.434,0,0,0,0,26397.744,0,0,
27,344.8754332288996,0.51720226,,,,,,,,,,,0,0,0,0,0,0,0,102531.016,0,59535.31,0,21149.41,25028.48,156837.19,0,0,0,0,92097.27,10524.555,14141.759,
28,218.9477569243527,0.5174718,,,,,,,,,,,0,0,0,0,0,0,0,0,8184.7104,11953.369,0,11604.772,14388.2705,30649.088,0,0,0,6401.6895,19694.096,14680.951,16703.22,
29,143.9968939021933,0.5193083,,,,,,,,,,,0,0,0,0,0,0,0,26655.562,7987.967,21683.346,0,12848.625,14699.465,38874.395,0,0,0,4105.553,27906.871,11330.03,12346.615,
30,232.92826120993004,0.5193491,,,,,,,,,,,0,0,0,0,0,0,0,139088.86,20081.826,88992.67,0,42903.957,47931.402,172741.84,0,0,0,6543.2095,115952.47,25160.559,32887.18,
31,240.96793228560102,0.5194368,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22618.57,24311.873,
32,357.39996253155005,0.5200097,,,,,,,,,,,0,0,0,0,0,0,0,6104.7227,0,0,0,0,0,14807.279,0,0,0,0,8824.106,0,0,
33,385.9021199745179,0.5200097,,,,,,,,,,,0,0,0,0,0,0,0,10192.819,0,0,0,0,0,15738.552,0,0,0,0,7562.2773,0,0,
34,218.91053843597473,0.52157557,,,,,,,,,,,0,0,0,0,0,0,0,17178.707,0,10062.378,0,0,0,35543.258,0,0,0,0,19008.723,0,0,
35,215.9210138385832,0.5217612,,,,,,,,,,,0,0,0,0,0,0,0,13126.129,0,0,0,0,0,27905.389,0,0,0,0,14945.589,0,0,
36,214.91764583484587,0.5221803,,,,,,,,,,,0,0,0,0,0,0,0,432695.53,55498.83,296069.7,0,140947.88,156433.95,861652.0,0,0,0,26290.516,486811.16,100568.17,124606.43,
37,184.02818678490368,0.5225687,,,,,,,,,,,0,0,0,0,0,0,0,8961.642,0,6680.5586,0,0,0,24524.182,0,0,0,0,11987.047,3836.0557,0,
38,255.94412955905514,0.5232517,,,,,,,,,,,0,0,0,0,0,0,0,113940.664,11346.079,75704.58,0,32621.031,37035.78,205613.83,0,0,0,0,115187.44,22500.656,26522.951,
39,221.1284638928036,0.5316278,,,,,,,,,,,0,0,0,0,0,0,0,16499.44,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,126.98980045077363,0.5337167,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,22228.148,0,0,0,0,0,0,0,
41,350.8853090112684,0.5352931,,,,,,,,,,,0,0,0,0,0,0,0,0,6983.1562,0,13894.275,0,0,0,0,0,10369.527,0,0,0,5253.0435,
42,298.8790045371785,0.5417353,,,,,,,,,,,0,0,0,0,0,0,0,28352.52,0,16875.06,0,4329.8984,8639.834,18648.645,0,0,0,0,16719.04,0,0,
43,488.7893708207423,0.54413617,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,13806.597,0,0,0,0,14453.375,0,0,0,0,0,
44,382.840351696038,0.5495324,,,,,,,,,,,0,0,0,0,0,0,0,24930.986,0,11733.51,0,0,5019.67,7903.6396,0,0,0,0,8835.302,0,0,
45,404.8279280128718,0.5506034,,,,,,,,,,,0,0,0,0,0,0,0,0,10835.388,0,21799.777,0,0,0,14852.203,22255.367,0,0,0,0,0,
46,332.99799519127055,0.55244625,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,15160.133,7840.835,36579.477,0,0,0,0,18426.941,21247.07,0,
47,320.8664112738299,0.5527878,,,,,,,,,,,0,0,0,0,0,0,0,21461.746,62217.594,25796.129,116461.22,10246.756,28166.477,0,71913.26,96299.37,49916.156,24275.441,12541.047,0,38275.344,
48,251.0611374615539,0.5529494,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99558.66,0,0,0,0,0,0,
49,289.01688328002757,0.5529494,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35638.418,0,0,0,0,0,0,
50,236.90497640998174,0.5552314,,,,,,,,,,,0,0,0,0,0,0,0,12294.1875,41160.523,19723.697,66262.945,13201.292,23512.832,8489.926,45776.676,53119.4,45547.215,26917.844,14321.079,14886.448,33325.742,
51,430.9139225603432,0.5558181,,,,,,,,,,,8624.4795,8456.945,7619.3105,8108.779,8058.6606,7487.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,362.9263232745936,0.55733436,,,,,,,,,,,12330.159,12468.246,12267.153,12339.571,13273.191,11985.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,252.88243713827444,0.5589812,,,,,,,,,,,0,0,0,0,0,0,0,70814.56,23575.6,44788.344,0,11074.65,26468.766,19803.922,0,0,0,0,28139.803,0,19033.102,
54,374.8087599858846,0.5591732,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17751.54,0,0,0,0,0,
55,458.77016553929644,0.5591732,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31573.258,0,0,0,0,0,
56,542.731730368614,0.5591732,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26106.996,0,0,0,0,0,
57,336.8437762812575,0.5605421,,,,,,,,,,,0,0,0,0,0,0,0,131660.48,46706.71,78316.14,0,18443.322,38508.36,18477.873,12506.959,0,0,11468.656,42731.777,0,34047.027,
58,550.7630976252253,0.5620616,,,,,,,,,,,0,0,0,0,0,0,0,21606.156,0,10277.694,0,0,0,0,0,0,0,0,0,0,0,
59,249.04620511117184,0.56299704,,,,,,,,,,,0,0,0,0,0,0,0,31194.16,43183.63,32687.799,59452.96,100357.4,29584.822,125614.15,19833.336,23079.246,109151.47,70513.03,117163.91,168295.44,0,
60,208.88403856409855,0.56362104,,,,,,,,,,,0,0,0,0,0,0,0,10610.008,11550.65,0,20052.508,0,0,0,12181.537,27580.215,0,0,0,0,0,
61,131.54241528472255,0.5647951,,,,,,,,,,,0,0,0,0,0,0,0,0,9683.332,0,0,14702.346,12543.814,16633.834,0,0,46246.914,58666.633,10322.295,45603.773,15366.207,
62,287.0015927054782,0.56519186,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10064.013,0,0,0,0,0,20844.973,19849.676,0,11249.087,0,
63,292.8452743874183,0.56522304,,,,,,,,,,,0,0,0,0,0,0,0,24221.58,26048.12,17615.521,48827.08,0,0,0,29290.406,73013.836,0,0,0,0,0,
64,206.88599719523978,0.56632346,,,,,,,,,,,0,0,0,0,0,0,0,55977.824,56224.42,39452.805,98440.484,0,20043.299,0,62963.805,137827.1,23490.262,0,14307.362,0,22193.86,
65,290.8472199755364,0.5663293,,,,,,,,,,,0,0,0,0,0,0,0,90606.78,94948.92,62054.656,175823.81,0,30546.795,0,103636.17,258389.42,38545.957,0,20612.803,0,33700.773,
66,122.9246993666418,0.56834507,,,,,,,,,,,0,0,0,0,0,0,0,39814.637,35475.688,29003.664,60527.445,8703.674,15433.908,0,43675.625,75332.41,17493.498,0,13247.915,0,17816.791,
67,265.02335520203366,0.56834024,,,,,,,,,,,0,0,0,0,0,0,0,338125.78,55113.234,179179.72,0,179033.27,93158.086,469055.12,0,0,0,49345.418,404069.44,147127.42,85838.74,
68,181.9617185966094,0.5708877,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24153.074,0,0,0,0,0,
69,139.5310844603248,0.57160556,,,,,,,,,,,0,0,0,0,0,0,0,87572.62,20590.0,64863.227,0,67480.22,35132.76,157776.34,0,0,0,31015.262,122190.96,61914.477,35412.66,
70,420.8051029460277,0.57368433,,,,,,,,,,,0,0,0,0,0,0,0,27939.176,0,15094.268,0,0,0,0,0,0,0,0,0,0,0,
71,256.98238068217154,0.57414824,,,,,,,,,,,0,0,0,0,0,0,0,22520.068,12201.501,14643.421,21158.775,12095.447,0,0,6044.1875,20357.752,0,0,8405.347,0,0,
72,193.0631659919606,0.57532007,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56833.117,0,0,0,0,0,0,
73,130.52589191335076,0.5772119,,,,,,,,,,,0,0,0,0,0,0,0,0,0,27183.52,0,31806.402,10473.822,82213.17,0,0,0,0,57609.094,19410.213,0,
74,195.97744653967564,0.5822543,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24527.746,0,0,0,0,0,
75,222.98818536236178,0.5822543,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26432.064,0,0,0,0,0,
76,296.0654212397452,0.58269674,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,28489.135,0,0,0,0,0,22083.322,20109.14,0,0,32271.402,
77,290.57745805575667,0.5881241,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,60472.105,0,0,0,0,0,0,0,0,0,
78,212.85188815950335,0.589539,,,,,,,,,,,0,0,0,0,0,0,0,0,18821.12,0,11447.25,0,0,0,19970.701,19829.127,0,0,0,0,0,
79,192.05539505773146,0.5916739,,,,,,,,,,,0,0,0,0,0,0,0,12961.654,35169.363,34612.85,35369.414,88148.2,30996.674,81999.65,10647.1875,16107.439,121918.82,131479.5,67691.234,133794.73,76251.46,
80,219.0265899242763,0.5917949,,,,,,,,,,,6266.548,7165.0117,0,6616.534,8295.777,7127.1177,0,1433307.6,2341816.5,2674156.0,1781664.9,2158185.2,872616.25,1883371.5,1570414.4,1903516.1,1662506.1,763116.0,2106419.0,1518967.4,2080783.1,
81,200.04419082819814,0.5919003,,,,,,,,,,,0,0,0,0,0,0,0,223614.45,51897.0,202769.78,0,262567.3,70202.52,462640.3,0,0,17282.006,61488.375,364853.62,159160.38,116994.44,
82,183.0501211481642,0.5932956,,,,,,,,,,,0,0,0,0,0,0,0,0,17536.9,16078.07,20504.771,46070.13,12688.836,48969.844,0,8210.788,49796.04,33089.152,33883.11,59984.27,53580.438,
83,445.08666035559605,0.5937498,,,,,,,,,,,0,0,0,0,0,0,0,54909.266,0,44033.223,0,59702.676,8580.149,103431.5,0,0,0,0,89485.63,31606.973,11731.592,
84,282.087125356432,0.5946127,,,,,,,,,,,0,0,0,0,0,0,0,12105.536,23675.205,38998.273,21456.023,144242.17,0,45144.2,0,8657.8125,30188.238,16635.055,53152.766,70381.78,0,
85,465.04050827224785,0.59519786,,,,,,,,,,,0,0,0,0,0,0,0,26536.488,0,0,17821.574,0,0,0,0,23705.068,34324.133,24097.977,18544.621,0,49271.68,
86,272.9774057730244,0.5955227,,,,,,,,,,,0,0,0,0,0,0,0,0,42872.67,0,0,0,0,0,0,0,0,0,0,0,0,
87,268.98207216848937,0.59679466,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8668.479,0,0,0,83928.125,0,0,0,0,0,0,
88,205.0682592312347,0.5968286,,,,,,,,,,,17321.012,0,18846.191,17171.924,16817.975,18188.326,61715.742,0,0,0,0,0,0,0,1131671.4,0,0,0,0,0,0,
89,221.04198760872015,0.59713095,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7450872.0,0,0,0,0,0,16340.633,
90,290.07576562345224,0.5971335,,,,,,,,,,,0,0,0,0,0,0,0,132839.08,30688.295,178227.44,0,293805.28,16265.96,230353.66,0,0,0,11102.1,223494.84,90112.44,18812.805,
91,279.04772524103083,0.5985132,,,,,,,,,,,0,0,0,0,0,0,0,0,11433.797,0,0,19177.629,21838.719,0,35270.383,19160.725,55818.824,65239.72,10371.107,6352.5117,46984.99,
92,191.03881788693673,0.5994894,,,,,,,,,,,0,0,0,0,0,0,0,60217.918,0,31163.852,0,43452.727,16788.82,118604.43,0,0,0,0,83193.99,33140.746,44318.64,
93,194.0710435252606,0.59953654,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175396.98,0,0,0,0,0,0,
94,383.09637852794935,0.59953654,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159074.73,0,0,0,0,0,0,
95,387.1340811037902,0.59953654,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39846.32,0,0,0,0,0,0,
96,174.8959542656023,0.6015722,,,,,,,,,,,0,0,0,0,0,0,0,0,36572.03,0,16560.824,0,0,0,38582.1,26761.742,0,0,0,0,0,
97,212.84223823896332,0.60225075,,,,,,,,,,,0,0,0,0,0,0,0,0,4674.7754,0,7907.8633,0,0,0,0,10016.763,0,0,0,0,0,
98,427.07578674412724,0.60377556,,,,,,,,,,,0,0,0,0,0,0,0,98142.805,5891.6436,26548.412,0,39448.29,22137.639,175146.44,0,0,0,15951.516,139426.42,47308.72,54434.934,
99,353.0846993608184,0.60476124,,,,,,,,,,,0,0,0,0,0,0,0,17030.188,44380.023,17952.9,0,13854.947,36011.137,15274.939,29327.715,12271.157,55338.67,76358.43,27880.41,25948.729,177475.25,
100,219.04860099781112,0.60536087,,,,,,,,,,,0,0,0,0,0,0,0,6101.426,48717.29,13597.59,8623.309,11220.521,0,9039.141,7288.5283,10012.883,0,0,10627.83,0,11964.722,
101,411.0980509854053,0.60680217,,,,,,,,,,,0,0,0,0,0,0,0,9829.447,8643.688,0,15964.451,27302.314,14932.845,46616.96,0,7128.946,87508.61,54556.766,49449.76,71300.695,75272.19,
102,455.11648858437,0.60724384,,,,,,,,,,,0,0,0,0,0,0,0,7126.7,14264.374,123235.59,116602.6,13762.964,23350.48,5415.4985,27657.39,162939.62,164222.72,31087.205,35427.38,43075.49,37888.68,
103,273.0817194657659,0.6078907,,,,,,,,,,,0,0,0,0,0,0,0,17106.48,40071.723,48295.863,51335.7,129987.7,37727.5,140041.77,0,22085.686,155980.14,82520.37,111521.62,195212.47,135219.8,
104,323.0736698325368,0.6080281,,,,,,,,,,,0,0,0,0,0,0,0,25220.91,13493.992,19254.395,0,13649.121,33296.812,17897.184,44385.027,20728.562,38476.84,55568.105,0,29916.422,119542.53,
105,182.94566135457504,0.6081017,,,,,,,,,,,0,0,0,0,0,0,0,0,24695.607,0,0,0,0,0,0,0,0,0,0,0,0,
106,241.1546025359289,0.6085089,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,12990.1875,12987.629,47666.633,0,0,0,0,0,0,0,0,
107,293.06303839396605,0.6104932,,,,,,,,,,,0,0,0,0,0,0,0,23732.953,41211.004,203779.67,97928.875,43408.16,33032.35,39933.848,108023.84,208620.88,164612.14,66514.9,58861.242,59752.996,208699.67,
108,220.02999867975063,0.6105385,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104081.914,0,0,0,0,0,0,
109,235.02129099075643,0.61117065,,,,,,,,,,,0,0,0,0,0,0,0,0,316711.16,0,0,0,0,0,0,16014.395,14856.513,12091.32,0,0,0,
110,371.1023886185811,0.61165035,,,,,,,,,,,0,0,0,0,0,0,0,45077.156,11218.968,52099.59,0,99400.38,11363.703,139476.12,0,0,0,0,111574.61,58942.535,29923.2,
111,281.0703142383613,0.6123662,,,,,,,,,,,0,0,0,0,0,0,0,147911.44,43208.83,167876.86,0,227001.67,68772.516,495150.97,0,0,20158.621,43161.72,351826.12,182678.31,143670.97,
112,249.03646795630286,0.61416817,,,,,,,,,,,0,0,0,0,0,0,0,31809.469,82741.016,105942.13,27207.78,75163.77,92572.83,37932.523,88099.54,54265.406,143382.34,157706.14,44191.215,0,246641.1,
113,381.0793019210143,0.6145187,,,,,,,,,,,0,0,0,0,0,0,0,1537401.6,2127955.8,1528752.1,2386747.5,2244711.2,1265062.2,2273306.5,817545.9,2089032.1,5620682.0,7188848.5,2406784.2,2764708.2,7701173.0,
114,455.0120749048337,0.6148738,,,,,,,,,,,0,0,0,0,0,0,0,14075.987,0,0,31666.783,0,0,0,0,17219.107,0,0,0,7598.2773,0,
115,172.09686444109215,0.6156602,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91275.03,0,0,0,0,0,
116,517.0094598939584,0.6158597,,,,,,,,,,,0,0,0,0,0,0,0,0,28663.992,0,25636.834,0,0,0,13349.765,26969.127,12130.002,18253.836,0,0,6867.6797,
117,362.0968250746226,0.6163859,,,,,,,,,,,0,0,0,0,0,0,0,68860.875,29071.162,67372.28,0,177858.77,53467.62,353377.6,0,0,44692.98,151811.66,286547.97,200882.36,269031.8,
118,176.01086954965726,0.61671746,,,,,,,,,,,0,0,0,0,0,0,0,0,44479.418,0,75265.15,172996.14,94594.26,78705.69,0,201498.53,15173.189,14740.019,138267.02,140123.17,0,
119,384.0812082941858,0.6169754,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58282.83,0,0,0,0,
120,354.10807582076336,0.6172127,,,,,,,,,,,0,0,0,0,0,0,0,0,14252.629,12125.137,23063.262,59901.402,22338.777,74602.41,0,8964.008,192817.03,185726.52,62727.195,149441.56,202628.45,
121,543.1325481011298,0.61746347,,,,,,,,,,,0,0,0,0,0,0,0,0,9780.942,0,0,0,0,6162.6245,0,0,31172.562,60369.863,17956.887,15856.299,169927.73,
122,201.05200246123005,0.61893415,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,38616.137,0,0,0,12079.595,0,0,0,0,0,0,
123,231.02645898618417,0.6190078,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,21612.662,7166.039,19671.262,0,108100.42,0,0,125018.234,0,0,0,
124,533.1547771982865,0.6206371,,,,,,,,,,,0,0,0,0,0,0,0,8267.008,0,7913.188,0,64419.97,7398.2544,84689.88,0,0,28138.215,132787.67,82260.14,82542.586,182611.55,
125,351.06873865458175,0.6208288,,,,,,,,,,,0,0,0,0,0,0,0,8444.883,0,5604.6255,0,21384.873,17114.572,0,43980.4,22926.838,198645.11,24412.59,20927.691,11098.219,98449.22,
126,525.1658997045802,0.62112194,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,15829.652,0,13311.453,0,0,99823.92,131263.84,16388.795,53690.31,117353.42,
127,137.0652064564215,0.6266164,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76961.21,0,0,0,0,0,
128,183.08638837749788,0.62700033,,,,,,,,,,,0,0,0,0,0,0,10378.903,0,0,0,0,0,0,0,2032760.9,0,0,0,0,0,0,
129,130.05001611301233,0.62773836,,,,,,,,,,,0,0,0,0,0,0,0,0,72072.3,122241.98,226818.17,234883.53,105246.43,54807.07,58986.457,155362.3,176098.62,129319.48,42800.664,97797.29,89575.79,
130,148.06041934496747,0.627963,,,,,,,,,,,0,0,0,0,0,0,0,27670.63,20757.568,111684.18,332316.3,368428.34,98354.24,164633.58,203280.73,118336.625,575520.44,526980.1,101913.086,391464.9,284436.94,
131,134.117695489977,0.6283246,,,,,,,,,,,0,0,0,0,0,0,10684.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,490.1767595073505,0.6289205,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,15819.152,42164.33,0,0,0,0,73441.46,88759.28,0,28392.475,37554.957,
133,136.07587567740578,0.6296248,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,283964.22,0,0,0,0,0,0,0,0,
134,263.01629769483253,0.6303237,,,,,,,,,,,0,0,0,0,0,0,0,112269.75,72393.82,220213.42,154900.12,25337.283,52614.555,327764.66,183781.88,555416.6,300444.2,100797.24,762490.2,84084.734,149895.05,
135,175.10780225192104,0.6320502,,,,,,,,,,,0,0,0,0,0,0,0,46858.598,0,0,0,0,0,0,0,0,0,0,251018.22,0,0,
136,198.09725532866486,0.63289315,,,,,,,,,,,12956.74,14138.498,15511.8,13615.885,15375.438,15098.049,0,311437.9,423823.4,431288.2,377489.38,770509.75,204820.38,358364.97,272814.88,401920.3,415326.9,537392.0,404498.97,497356.25,404285.6,
137,304.15036186779673,0.63308096,,,,,,,,,,,0,0,0,0,0,0,0,0,21856.402,0,47881.55,26113.941,0,0,0,0,8873.888,0,0,0,0,
138,142.1227260130225,0.6334657,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2525174.8,0,0,0,0,50253.664,0,0,0,0,0,
139,263.0523247861173,0.6335552,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,29876.77,0,107150.62,26306.959,0,35535.58,16463.355,17319.602,50297.215,32225.562,
